date_time,Voltage_Set,Height
"2026-05-10 11:33:13",8.4263,23.9613
"2026-05-10 11:33:14",8.49056,23.6543
"2026-05-10 11:33:15",8.61288,23.6697
"2026-05-10 11:33:16",8.61396,23.7157
"2026-05-10 11:33:17",8.52542,23.7157
"2026-05-10 11:33:18",8.40163,23.7617
"2026-05-10 11:33:19",8.40266,23.7464
"2026-05-10 11:33:20",8.43482,23.7157
"2026-05-10 11:33:21",8.49821,23.7003
"2026-05-10 11:33:22",8.49924,23.7003
"2026-05-10 11:33:23",8.56128,23.7157
"2026-05-10 11:33:24",8.53205,23.7157
"2026-05-10 11:33:25",8.5024,23.7157
"2026-05-10 11:33:26",8.50337,23.731
"2026-05-10 11:33:27",8.50433,23.7157
"2026-05-10 11:33:28",8.53576,23.7157
"2026-05-10 11:33:29",8.47556,23.7617
"2026-05-10 11:33:30",8.44573,23.7617
"2026-05-10 11:33:31",8.44664,23.7464
"2026-05-10 11:33:32",8.417,23.7157
"2026-05-10 11:33:33",8.44835,23.7464
"2026-05-10 11:33:34",8.47978,23.7157
"2026-05-10 11:33:35",8.45013,23.8385
"2026-05-10 11:33:36",8.48145,23.731
"2026-05-10 11:33:37",8.51265,23.731
"2026-05-10 11:33:38",8.51349,23.7617
"2026-05-10 11:33:39",8.48404,23.7771
"2026-05-10 11:33:40",8.39454,23.7924
"2026-05-10 11:33:41",8.36599,23.7771
"2026-05-10 11:33:42",8.42578,23.7617
"2026-05-10 11:33:43",8.45661,23.731
"2026-05-10 11:33:44",8.48754,23.731
"2026-05-10 11:33:45",8.4883,23.731
"2026-05-10 11:33:46",8.42903,23.731
"2026-05-10 11:33:47",8.45966,23.7157
"2026-05-10 11:33:48",8.4904,23.7157
"2026-05-10 11:33:49",8.52103,23.7157
"2026-05-10 11:33:50",8.52175,23.7464
"2026-05-10 11:33:51",8.52246,23.7617
"2026-05-10 11:33:52",8.4635,23.7771
"2026-05-10 11:33:53",8.37631,23.7617
"2026-05-10 11:33:54",8.40576,23.731
"2026-05-10 11:33:55",8.4357,23.7157
"2026-05-10 11:33:56",8.52535,23.7157
"2026-05-10 11:33:57",8.37917,23.7157
